catalog_id,work_id,title,author,alternate_titles,author_aliases,edition,publication_year
BK0001,WORK0001,The Hobbit,J. R. R. Tolkien,The Hobbit: or There and Back Again,"J.R.R. Tolkien|J R R Tolkien|John Ronald Reuel Tolkien|Tolkien, J. R. R.",Paperback UK,1937
BK0002,WORK0001,The Hobbit,J. R. R. Tolkien,The Hobbit: 75th Anniversary Edition,"J.R.R. Tolkien|J R R Tolkien|John Ronald Reuel Tolkien|Tolkien, J. R. R.",75th Anniversary Hardcover,2012
BK0003,WORK0002,The Fellowship of the Ring,J. R. R. Tolkien,The Lord of the Rings: Part 1,"J.R.R. Tolkien|J R R Tolkien|Tolkien, J. R. R.",Paperback,1954
BK0004,WORK0003,The Two Towers,J. R. R. Tolkien,The Lord of the Rings: Part 2,"J.R.R. Tolkien|J R R Tolkien|Tolkien, J. R. R.",Paperback,1954
BK0005,WORK0004,The Return of the King,J. R. R. Tolkien,The Lord of the Rings: Part 3,"J.R.R. Tolkien|J R R Tolkien|Tolkien, J. R. R.",Paperback,1955
BK0006,WORK0005,The Lord of the Rings,J. R. R. Tolkien,The Lord of the Rings Omnibus|The Lord of the Rings Trilogy,"J.R.R. Tolkien|J R R Tolkien|Tolkien, J. R. R.",Single Volume Collector Omnibus,1968
BK0007,WORK0006,Harry Potter and the Philosopher's Stone,J. K. Rowling,Harry Potter and the Sorcerer's Stone,"J.K. Rowling|Joanne Rowling|Rowling, J. K.",UK First Edition,1997
BK0008,WORK0006,Harry Potter and the Sorcerer's Stone,J. K. Rowling,Harry Potter and the Philosopher's Stone,"J.K. Rowling|Joanne Rowling|Rowling, J. K.",US Hardcover Edition,1998
BK0009,WORK0007,Harry Potter and the Chamber of Secrets,J. K. Rowling,,"J.K. Rowling|Joanne Rowling|Rowling, J. K.",Paperback,1998
BK0010,WORK0008,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,,"J.K. Rowling|Joanne Rowling|Rowling, J. K.",Paperback,1999
BK0011,WORK0009,Harry Potter and the Goblet of Fire,J. K. Rowling,,"J.K. Rowling|Joanne Rowling|Rowling, J. K.",Hardcover,2000
BK0012,WORK0010,Northern Lights,Philip Pullman,The Golden Compass,"Pullman, Philip",UK Paperback,1995
BK0013,WORK0010,The Golden Compass,Philip Pullman,Northern Lights,"Pullman, Philip",US Hardcover,1996
BK0014,WORK0011,And Then There Were None,Agatha Christie,Ten Little Indians|Ten Little Niggers,"Christie, Agatha|Agatha Mary Clarissa Christie",Fontana Paperback,1939
BK0015,WORK0012,Dune,Frank Herbert,,"Herbert, Frank|Frank Patrick Herbert",Chilton Hardcover,1965
BK0016,WORK0012,Dune,Frank Herbert,Dune: 50th Anniversary Edition,"Herbert, Frank|Frank Patrick Herbert",50th Anniversary Deluxe Edition,2015
BK0017,WORK0013,Dune Messiah,Frank Herbert,,"Herbert, Frank|Frank Patrick Herbert",Paperback,1969
BK0018,WORK0014,Dune House Atreides,Brian Herbert,Dune: House Atreides,"Herbert, Brian|Brian Herbert and Kevin J. Anderson",Hardcover,1999
BK0019,WORK0015,Foundation,Isaac Asimov,,"Asimov, Isaac",Gnome Press Hardcover,1951
BK0020,WORK0016,Foundation and Empire,Isaac Asimov,,"Asimov, Isaac",Gnome Press Hardcover,1952
BK0021,WORK0017,Second Foundation,Isaac Asimov,,"Asimov, Isaac",Gnome Press Hardcover,1953
BK0022,WORK0018,The Foundation Trilogy,Isaac Asimov,Foundation / Foundation and Empire / Second Foundation|Foundation Omnibus,"Asimov, Isaac",Three-in-One Omnibus Edition,1974
